corp_code,corp_name,corp_eng_name,induty_code,modify_date,recent_audit_rcept_dt,recent_audit_report,recent_audit_rcept_no,revenue_raw
01028757,창산정공,CHANGSAN PRECISION CO.LTD,303,20230223,20260406,감사보고서 (2025.12),20260406001020,
00878395,현대그린테크,HYUNDAIGREENTEC,46800,20230223,20260303,감사보고서 (2025.12),20260303000440,
00870728,씨에스메탈스,csmetals,46800,20230223,20260326,감사보고서 (2025.12),20260326000489,
01772070,대림기공,"DAERIM MACHINERY CO., LTD.",25122,20230807,20260406,감사보고서 (2025.12),20260406001717,
01549621,도무스메탈,DOMUSMETAL,25932,20230223,20250411,감사보고서 (2024.12),20250411000487,
00127635,삼원정공,"SAMWON PRECISION MACHINE CO.,LTD.",25943,20230223,20260403,감사보고서 (2025.12),20260403003471,
01767290,근하기공,"geunha engineering., ltd",29161,20230622,20260430,연결감사보고서 (2025.12),20260430000557,
01484245,에이치디현대로보틱스,"HDHyundai Robotics Co., Ltd",2928,20240202,20260331,연결감사보고서 (2025.12),20260331004301,
00448848,유진정공,YUJIN PRECISION CO.LTD.,30,20230223,20260331,감사보고서 (2025.12),20260331004187,
01038152,현대오토솔루션,"HYUNDAI AUTO SOLUTION CO.,LTD",25924,20230223,20260401,감사보고서 (2025.12),20260401001661,
00912486,대한금속공업,DAEHAN Metal Industry Co.Ltd,24311,20230223,20260408,감사보고서 (2025.12),20260408002252,
00654971,한국운반기계공업,"Han-Kook Transportation Machine co., ltd. ",2916,20230223,20260407,감사보고서 (2025.12),20260407002050,
01370757,동양전자공업,"DONGYANG ELECTRONIC INDUSTRY CO.,LTD",28111,20230223,20260406,감사보고서 (2025.12),20260406000737,
01532588,카네비오토모티브,"Kanavi Automotive Co., Ltd.",26521,20230224,,,,
00176589,나라컨트롤,Nara Controls Inc,27215,20230223,20260409,감사보고서 (2025.12),20260409000095,
00680693,육일메탈,Yuk-IL Metal Company,30,20230224,20260401,감사보고서 (2025.12),20260401003041,
01798078,에디슨건강기차,"EDISON JIANKANG AUTOMOBILE CO., LTD.",3039,20231121,,,,
01798625,현대콘트롤전기,"HYUNDAI CONTROL ELECTRIC CO., LTD.",28123,20231121,,,,
01018024,협진커넥터,"Hyupjin Connector Co.,Ltd.",2629,20230223,20260402,연결감사보고서 (2025.12),20260402003595,
01639933,농업회사법인현대농산,"hyundai Agricultural Products Co., Ltd",46201,20230223,20260409,감사보고서 (2025.12),20260408003476,
01080270,오토메탈글로벌,"Auto Metal Global Co.,Ltd",25912,20230223,20260331,감사보고서 (2025.12),20260331004420,
01552740,오토렉스,"AUTOREX Co., Ltd.",30201,20230224,20260401,감사보고서 (2025.12),20260401002661,
01733761,대양메탈,daeyang metal,24290,20230417,20260413,감사보고서 (2025.12),20260410003734,
01306114,코리아정공,KOREA PRECISION,29120,20230228,20250404,감사보고서 (2024.12),20250404003842,
01373587,태흥철강공업,TAE HEUNG STEEL CO,25941,20230223,20250403,감사보고서 (2024.12),20250403000939,
01760987,씨엔모터스,CN MOTORS,30201,20230512,20260401,감사보고서 (2025.12),20260401002656,
01757354,청우정밀,"Chungwoo Precision co.,Ltd",25924,20230512,20260410,감사보고서 (2025.12),20260410001824,
00564137,대구정밀,"DAEGU PRECISION CO.,LTD",25943,20230223,20260406,감사보고서 (2025.12),20260406000581,
00620309,한양공업,"Hanyang Trading Co.,Ltd",29142,20230427,20260401,감사보고서 (2025.12),20260401002074,
01152993,코와이어,KOREA WIRE.CO.LTD,259,20230223,20260406,감사보고서 (2025.12),20260406000806,
00580533,플루이커넥터코리아,"Fluiconnecto OEM Korea CO.,Ltd.",25924,20230223,20240402,감사보고서 (2023.12),20240402002114,
01739899,동원정밀,"Dong Won Precision Co.,LTD",29,20230424,20260402,감사보고서 (2025.12),20260402002224,
01377617,신정기공,"SHIN JEUNG MACH.CO.,LTD.",29133,20230223,20260401,감사보고서 (2025.12),20260401001810,
00770321,원일현대에프엔티,"WONIL HYUNDAE F&T CO.,LTD",25912,20230223,20260410,감사보고서 (2025.12),20260410000768,
00875370,유니메탈,"Unimetal Co., Ltd.",46722,20230228,20260320,감사보고서 (2025.12),20260320000449,
